Application_Number,y_test,prediction
58226,97000.0,101908.27318864605
9629,267000.0,271052.20569602284
84044,302000.0,302711.31588608294
80251,129000.0,130075.1780960025
146601,587040.0,592405.4375662796
16970,664000.0,667258.5905782433
173960,362840.0,368588.9749255746
117990,502000.0,502535.49339592335
156917,2497000.0,2439206.429741188
6745,874888.0,878872.4010975978
74272,530900.0,525645.6788510478
81091,547000.0,553815.4575247585
72014,272000.0,258773.91571898293
152411,742960.0,739461.8907625013
70535,667000.0,677453.9124651968
73813,257000.0,258717.7600781834
12629,535000.0,540137.7765577094
169310,282000.0,277978.1916710753
171781,197000.0,204373.58892607025
107587,332000.0,338438.415483941
138219,329200.0,331908.74378953484
133304,602000.0,602090.4693968613
27300,690000.0,687200.5217134195
104174,592470.0,585325.3310102096
61109,635000.0,631415.2586570085
168610,87000.0,89604.29433208407
15080,302000.0,302758.573734858
70286,342000.0,337497.01516383654
88424,1532000.0,1552420.4944155375
84879,918800.0,947885.4401095253
120924,2991875.0,2817263.7716081794
129717,277000.0,280167.59979346796
42143,127000.0,132114.50938211352
79413,367000.0,366948.76136821136
86034,92000.0,88818.94206601934
50717,561316.0,555664.7735197764
30514,684900.0,680050.9894556617
53214,1412000.0,1459952.9920389524
97785,292000.0,286114.915487212
160472,92000.0,92790.38069202992
171308,652000.0,641589.6210915139
157446,652000.0,663495.0425445554
117808,302000.0,299047.3589205127
54084,1202000.0,1178626.1273171888
86859,315000.0,320342.668927693
164298,221450.0,229901.8110410549
80803,617000.0,611221.8080352441
169928,743600.0,765208.2661205818
30257,72000.0,74016.04285950193
15715,616000.0,627055.5473073164
498,382000.0,373562.8832278695
93128,1102000.0,1074356.011868294
107490,452000.0,449921.7623527462
139478,311000.0,303617.7531538895
68095,570440.0,572118.8712875776
123713,652000.0,659980.6958853081
156915,39000.0,39862.515236070416
38306,569500.0,569098.1057920578
11695,712800.0,710879.5201722403
124215,427000.0,430521.0647844454
122896,227000.0,232231.01619366396
134332,352000.0,354972.23083687713
105941,2177000.0,2096371.7542649205
176370,659000.0,647404.9476474159
51876,262000.0,265451.3354587646
45100,152000.0,155276.05739404357
3783,609900.0,603751.1895592473
67746,243000.0,246141.65304357308
39356,302000.0,300440.3382655297
62253,448800.0,450555.4329216821
69374,442000.0,453398.75295322156
152141,547000.0,543483.0656901432
110542,721888.0,724379.5513573965
9754,332000.0,330416.17544559395
134537,377000.0,368939.00656930666
130105,47000.0,48391.283423488785
51407,407000.0,398339.3507661102
179035,554900.0,563458.1190256858
60983,685800.0,679176.918442713
75657,342800.0,343173.78214641626
145674,562000.0,576386.0657835535
51473,407000.0,426496.2113946207
102297,784000.0,796018.1282398462
36305,237000.0,234941.72522958333
128455,305900.0,308057.95142252045
169923,476800.0,474474.3955939847
178039,695000.0,697129.9238707725
42210,342500.0,340113.4688454262
19175,480000.0,481415.77305189037
151502,702800.0,711398.1179497602
170952,657000.0,654940.6486269073
167272,82000.0,84881.2985623993
136324,752000.0,756286.8506861744
48269,595800.0,584819.4455916196
186334,77560.0,86858.39412933789
141952,556000.0,554412.6068442658
97588,447888.0,445592.2709931868
28157,337000.0,349098.07506754657
118462,755800.0,753892.0682984375
67967,1802800.0,1787314.6547574238
17865,277000.0,270576.6528190698
64292,322800.0,325490.6046268615
70742,572000.0,580806.764684258
37624,602000.0,589344.0033729236
12678,682000.0,685739.7130914389
70225,57000.0,62032.91175180478
26553,449730.0,452147.33401617105
126853,177000.0,178259.60609575178
150782,282000.0,274269.0593807353
